,0
"(17, 96)",0.0
"(17, 97)",0.0
"(17, 98)",0.0
"(18, 0)",23.8533
"(18, 1)",12.315
"(18, 2)",12.315
"(18, 3)",12.315
"(18, 4)",12.315
"(18, 5)",12.315
"(18, 17)",0.0
"(18, 18)",0.0
"(18, 19)",23.8533
"(18, 20)",0.0
"(18, 21)",0.0
"(18, 22)",23.8533
"(18, 23)",0.0
"(18, 24)",0.0
"(18, 25)",23.8533
"(18, 26)",0.0
"(18, 27)",0.0
"(18, 28)",6.545
"(18, 29)",6.545
"(18, 30)",6.545
"(18, 31)",6.545
"(18, 32)",6.545
"(18, 33)",23.8533
"(18, 34)",17.3517
"(18, 35)",17.3517
"(18, 36)",17.3517
"(18, 37)",23.8533
"(18, 38)",23.8533
"(18, 39)",17.3517
"(18, 40)",17.3517
"(18, 41)",17.3517
"(18, 42)",23.8533
"(18, 43)",25.94
"(18, 44)",25.94
"(18, 45)",20.72
"(18, 46)",20.72
"(18, 47)",20.72
"(18, 48)",20.72
"(18, 49)",20.72
"(18, 62)",23.8867
"(18, 63)",23.8867
"(18, 64)",23.8533
"(18, 65)",23.8867
"(18, 66)",23.8867
"(18, 67)",23.8533
"(18, 68)",23.8867
"(18, 69)",23.8867
"(18, 70)",23.8533
"(18, 71)",21.8367
"(18, 72)",21.8367
"(18, 73)",21.8367
"(18, 74)",21.8367
"(18, 75)",21.8367
"(18, 96)",0.0
"(18, 97)",0.0
"(18, 98)",0.0
"(19, 0)",0.0
"(19, 1)",13.8983
"(19, 2)",13.8983
"(19, 3)",13.8983
"(19, 4)",13.8983
"(19, 5)",13.8983
"(19, 17)",23.7383
"(19, 18)",23.7383
"(19, 19)",0.0
"(19, 20)",23.7383
"(19, 21)",23.7383
"(19, 22)",0.0
"(19, 23)",23.7383
"(19, 24)",23.7383
"(19, 25)",0.0
"(19, 26)",23.7383
"(19, 27)",23.7383
"(19, 28)",22.28
"(19, 29)",22.28
"(19, 30)",22.28
"(19, 31)",22.28
"(19, 32)",22.28
"(19, 33)",0.0
"(19, 34)",16.8933
"(19, 35)",16.8933
"(19, 36)",16.8933
"(19, 37)",0.0
"(19, 38)",0.0
"(19, 39)",16.8933
"(19, 40)",16.8933
"(19, 41)",16.8933
"(19, 42)",0.0
"(19, 43)",11.2267
"(19, 44)",11.2267
"(19, 45)",4.595
"(19, 46)",4.595
"(19, 47)",4.595
"(19, 48)",4.595
"(19, 49)",4.595
"(19, 62)",9.9617
"(19, 63)",9.9617
"(19, 64)",0.0
"(19, 65)",9.9617
"(19, 66)",9.9617
"(19, 67)",0.0
"(19, 68)",9.9617
"(19, 69)",9.9617
"(19, 70)",0.0
"(19, 71)",7.37
"(19, 72)",7.37
"(19, 73)",7.37
"(19, 74)",7.37
"(19, 75)",7.37
"(19, 96)",23.7383
"(19, 97)",23.7383
"(19, 98)",23.7383
"(20, 0)",23.8533
"(20, 1)",12.315
"(20, 2)",12.315
"(20, 3)",12.315
"(20, 4)",12.315
"(20, 5)",12.315
"(20, 17)",0.0
"(20, 18)",0.0
"(20, 19)",23.8533
"(20, 20)",0.0
"(20, 21)",0.0
"(20, 22)",23.8533
"(20, 23)",0.0
"(20, 24)",0.0
"(20, 25)",23.8533
"(20, 26)",0.0
"(20, 27)",0.0
"(20, 28)",6.545
"(20, 29)",6.545
"(20, 30)",6.545
"(20, 31)",6.545
"(20, 32)",6.545
"(20, 33)",23.8533
"(20, 34)",17.3517
"(20, 35)",17.3517
"(20, 36)",17.3517
"(20, 37)",23.8533
"(20, 38)",23.8533
"(20, 39)",17.3517
"(20, 40)",17.3517
"(20, 41)",17.3517
"(20, 42)",23.8533
"(20, 43)",25.94
"(20, 44)",25.94
"(20, 45)",20.72
"(20, 46)",20.72
"(20, 47)",20.72
"(20, 48)",20.72
"(20, 49)",20.72
"(20, 62)",23.8867
"(20, 63)",23.8867
"(20, 64)",23.8533
"(20, 65)",23.8867
"(20, 66)",23.8867
"(20, 67)",23.8533
"(20, 68)",23.8867
"(20, 69)",23.8867
"(20, 70)",23.8533
"(20, 71)",21.8367
"(20, 72)",21.8367
"(20, 73)",21.8367
"(20, 74)",21.8367
"(20, 75)",21.8367
"(20, 96)",0.0
"(20, 97)",0.0
"(20, 98)",0.0
"(21, 0)",23.8533
"(21, 1)",12.315
"(21, 2)",12.315
"(21, 3)",12.315
"(21, 4)",12.315
"(21, 5)",12.315
"(21, 17)",0.0
"(21, 18)",0.0
"(21, 19)",23.8533
"(21, 20)",0.0
"(21, 21)",0.0
"(21, 22)",23.8533
"(21, 23)",0.0
"(21, 24)",0.0
"(21, 25)",23.8533
"(21, 26)",0.0
"(21, 27)",0.0
"(21, 28)",6.545
"(21, 29)",6.545
"(21, 30)",6.545
"(21, 31)",6.545
"(21, 32)",6.545
"(21, 33)",23.8533
"(21, 34)",17.3517
"(21, 35)",17.3517
"(21, 36)",17.3517
"(21, 37)",23.8533
"(21, 38)",23.8533
"(21, 39)",17.3517
"(21, 40)",17.3517
"(21, 41)",17.3517
"(21, 42)",23.8533
"(21, 43)",25.94
"(21, 44)",25.94
"(21, 45)",20.72
"(21, 46)",20.72
"(21, 47)",20.72
"(21, 48)",20.72
"(21, 49)",20.72
"(21, 62)",23.8867
"(21, 63)",23.8867
"(21, 64)",23.8533
"(21, 65)",23.8867
"(21, 66)",23.8867
"(21, 67)",23.8533
"(21, 68)",23.8867
"(21, 69)",23.8867
"(21, 70)",23.8533
"(21, 71)",21.8367
"(21, 72)",21.8367
"(21, 73)",21.8367
"(21, 74)",21.8367
"(21, 75)",21.8367
"(21, 96)",0.0
"(21, 97)",0.0
"(21, 98)",0.0
"(22, 0)",0.0
"(22, 1)",13.8983
"(22, 2)",13.8983
"(22, 3)",13.8983
"(22, 4)",13.8983
"(22, 5)",13.8983
"(22, 17)",23.7383
"(22, 18)",23.7383
"(22, 19)",0.0
"(22, 20)",23.7383
"(22, 21)",23.7383
"(22, 22)",0.0
"(22, 23)",23.7383
"(22, 24)",23.7383
"(22, 25)",0.0
"(22, 26)",23.7383
"(22, 27)",23.7383
"(22, 28)",22.28
"(22, 29)",22.28
"(22, 30)",22.28
"(22, 31)",22.28
"(22, 32)",22.28
"(22, 33)",0.0
"(22, 34)",16.8933
"(22, 35)",16.8933
"(22, 36)",16.8933
"(22, 37)",0.0
"(22, 38)",0.0
"(22, 39)",16.8933
"(22, 40)",16.8933
"(22, 41)",16.8933
"(22, 42)",0.0
"(22, 43)",11.2267
"(22, 44)",11.2267
"(22, 45)",4.595
"(22, 46)",4.595
"(22, 47)",4.595
"(22, 48)",4.595
"(22, 49)",4.595
"(22, 62)",9.9617
"(22, 63)",9.9617
"(22, 64)",0.0
"(22, 65)",9.9617
"(22, 66)",9.9617
"(22, 67)",0.0
"(22, 68)",9.9617
"(22, 69)",9.9617
"(22, 70)",0.0
"(22, 71)",7.37
"(22, 72)",7.37
"(22, 73)",7.37
"(22, 74)",7.37
"(22, 75)",7.37
"(22, 96)",23.7383
"(22, 97)",23.7383
"(22, 98)",23.7383
